Time,EntityCount,Frames,Events,SystemCount,SystemRunTime,RemotePeerPing,BytesReceived,BytesSent,PacketsSent,PacketsReceived,PacketLossPercent
1.003333,8,55,250,0,6.103516E-05,0,7039,4284,55,61,0
2.019999,17,53,997,0,6.103516E-05,0,39498,8499,111,134,0
3.036664,41,55,2053,0,0,0,107341,12898,171,229,0
4.053331,54,59,3180,0,0,0,211929,17841,239,391,0
5.070011,61,61,4565,0,0,0,361623,23035,314,624,0
6.086689,81,56,5234,0,6.103516E-05,0,534319,27624,382,910,0
7.120032,84,54,6242,0,0.0001220703,0,739432,32149,449,1239,0
8.136706,89,55,6650,0,0.0001220703,0,958348,36716,516,1615,0
9.153366,120,52,7665,0,0.0001220703,0,1211849,41195,579,2049,0
10.17003,119,52,9135,0,6.103516E-05,0,1512396,45816,644,2574,0
11.18669,143,50,11778,0,6.103516E-05,0,1901233,50126,709,3256,0
12.20334,158,55,10998,0,6.103516E-05,0,2263407,55267,782,3905,0
13.22001,164,49,12078,0,0.0001220703,0,2661133,60011,850,4634,0
14.23666,167,54,12285,0,0,0,3065657,64470,918,5374,0
15.25332,186,53,13479,0,0,0,3509929,69121,983,6180,0
16.26998,193,52,13927,0,0,0,3968206,73411,1047,7020,0
17.28663,210,54,14839,0,0,0,4457020,77906,1115,7924,0
18.30328,218,56,15974,0,6.103516E-05,0,4983034,82648,1183,8884,0
19.31993,235,54,17336,0,0.0003051758,0,5553837,87143,1250,9926,0
20.33659,271,52,19157,0,0,0,6185658,91870,1324,11083,0
21.35324,291,50,24412,0,0.0001220703,0,6989726,96189,1387,12542,0
22.36989,306,51,23903,0,0.0001220703,1,7776769,100523,1458,13997,0
23.38654,344,52,28862,0,0,1,8728355,105079,1531,15755,0
24.40319,377,50,27499,0,0,0,9643881,109626,1601,17467,0
25.41984,369,50,29574,0,0,0,10609453,114275,1674,19276,0
26.43649,402,52,30125,0,6.103516E-05,0,11615638,119346,1747,21159,0
27.45314,414,50,31398,0,0,0,12636492,123689,1815,23061,0
28.4698,439,51,32356,0,6.103516E-05,0,13702642,128290,1889,25056,0
29.46978,433,49,33524,0,6.103516E-05,0,14806240,132998,1959,27116,0
30.5031,447,50,31413,0,0,0,15840867,137379,2026,29055,0
31.53642,464,51,35191,0,0.0001220703,0,17000111,142206,2101,31226,0
32.55307,460,49,36380,0,0,0,18197992,146714,2169,33464,0
33.56972,491,49,37696,0,6.103516E-05,0,19439821,151038,2239,35782,0
34.58637,512,49,40095,0,6.103516E-05,0,20761434,155852,2309,38265,0
35.60302,531,49,38736,0,0,0,22037464,160236,2380,40664,0
36.61967,507,49,38443,0,0.0001220703,0,23302719,164948,2451,43043,0
37.63632,539,48,39158,0,0,0,24592892,169202,2522,45462,0
38.65297,548,49,40846,0,0.0001220703,0,25939331,173555,2592,47981,0
39.68629,554,47,43476,0,0,1,27371100,177849,2665,50667,0
40.70294,591,46,45261,0,0,1,28863682,181973,2732,53483,0
41.71959,558,47,40504,0,6.103516E-05,0,30196914,186144,2798,56002,0
42.75291,614,41,44655,0,6.103516E-05,0,31669813,190412,2863,58767,0
43.76956,595,47,43015,0,0,0,33112450,194719,2935,61473,0
44.78621,615,47,45095,0,0,0,34593769,198947,3004,64239,0
45.81953,635,47,44409,0,0,0,36037663,203679,3074,66946,0
46.83618,650,48,47288,0,0,0,37596085,208064,3143,69859,0
