Time,EntityCount,Frames,Events,SystemCount,SystemRunTime,RemotePeerPing,BytesReceived,BytesSent,PacketsSent,PacketsReceived,PacketLossPercent
1.053333,1,60,120,8,0.002441406,0,111289354,296164564,559400,221242,0
2.053332,17,60,690,8,0.004638672,0,111293506,296187413,559469,221297,0
3.053331,30,60,1743,8,0.006958008,0,111297634,296244996,559551,221351,0
4.05333,50,60,2718,8,0.01403809,0,111302191,296334552,559691,221415,0
5.05334,69,60,4692,8,0.02319336,0,111306524,296489463,559949,221475,0
6.053351,83,60,5654,8,0.03369141,0,111311311,296675878,560251,221543,0
7.05336,84,60,5968,8,0.0390625,0,111315530,296871932,560602,221607,0
8.053369,110,60,8068,8,0.05297852,1,111320088,297137970,561061,221672,0
9.070029,142,60,8695,8,0.06787109,1,111324513,297425537,561569,221736,0
10.05336,127,60,10415,8,0.08325195,0,111328349,297767806,562189,221797,0
11.05335,136,60,9897,8,0.08422852,1,111333100,298093239,562782,221865,0
12.07001,150,60,10315,8,0.08813477,1,111337207,298433035,563405,221928,0
13.05334,160,60,11693,8,0.09790039,0,111341492,298818045,564103,221993,0
14.05333,152,60,11458,8,0.0925293,0,111346536,299194645,564786,222059,0
15.05332,176,60,11787,8,0.1049805,0,111351064,299583772,565506,222124,0
16.06997,181,60,13346,8,0.1309814,0,111356201,300022872,566319,222200,0
17.06996,198,60,13382,8,0.1418457,0,111360951,300463996,567138,222273,0
18.06994,191,60,14696,8,0.145874,0,111365820,300947316,568017,222346,0
19.08659,245,60,19197,8,0.1723633,3,111370954,301581784,569185,222420,0
20.08658,236,60,17724,8,0.2342529,3,111376038,302164871,570259,222499,0
21.0699,256,60,18153,8,0.2362061,2,111381176,302763118,571365,222581,0
22.06988,266,60,18854,8,0.2585449,2,111385372,303384132,572512,222650,0
23.08653,270,60,19768,8,0.2869873,2,111389750,304034598,573716,222719,0
24.10318,307,60,21683,8,0.3115234,1,111394587,304749587,575042,222793,0
25.0865,330,60,23951,8,0.3664551,1,111398944,305539089,576516,222863,0
26.06982,311,60,23970,8,0.3822021,0,111403505,306327174,577985,222935,0
27.08647,362,60,24897,8,0.4290771,1,111408096,307148867,579519,223000,0
28.06979,348,60,32437,8,0.4570313,2,111412389,308217067,581504,223069,0
29.08644,364,60,27665,8,0.4554443,2,111416629,309128373,583207,223141,0
30.10309,392,60,27483,8,0.4737549,2,111421071,310035215,584904,223214,0
31.08641,388,60,28352,8,0.510376,1,111425463,310968962,586637,223284,0
32.10307,402,60,29831,8,0.5626221,1,111430084,311952068,588478,223354,0
