Time,EntityCount,Frames,Events,SystemCount,SystemRunTime,RemotePeerPing,BytesReceived,BytesSent,PacketsSent,PacketsReceived,PacketLossPercent
1.003333,12,50,251,8,0.00378418,0,66,11567,53,5,3
2.019999,19,55,1131,8,0.005310059,1,106,52643,119,9,1
3.036665,37,53,1709,8,0.009338379,0,224,113639,196,19,1
4.053331,40,52,2546,8,0.0100708,0,316,201537,332,27,0
5.070007,51,53,3033,8,0.01202393,0,424,305646,501,37,0
6.086685,63,56,4077,8,0.01739502,0,568,444526,722,49,0
7.103363,73,55,4688,8,0.0189209,0,749,602982,992,64,0
8.120041,76,57,5240,8,0.02044678,0,984,779962,1285,83,0
9.136701,98,52,6140,8,0.02575684,0,1219,987171,1650,102,0
10.15336,105,55,6927,8,0.03466797,0,1376,1219442,2053,115,0
11.17001,112,61,8485,8,0.03717041,0,1546,1503315,2560,129,0
12.18666,136,59,8858,8,0.04296875,0,1755,1800378,3080,146,0
13.20332,128,55,9135,8,0.05804443,0,1977,2105225,3627,164,0
14.21998,150,55,9686,8,0.0592041,0,2199,2428794,4204,182,0
15.23664,152,52,10114,8,0.05285645,0,2408,2765875,4812,199,0
16.25329,171,58,11850,8,0.06750488,0,2617,3160987,5524,216,0
17.28661,184,56,12085,8,0.08093262,0,2878,3564116,6240,237,0
18.30326,199,54,13265,8,0.1008301,0,3100,4005309,7048,255,0
19.31991,222,54,13777,7,0.0513916,0,3398,4463812,7880,277,0
20.33656,217,52,14523,8,0.0993042,0,3672,4945964,8746,299,0
21.36988,236,50,14699,8,0.1182251,0,3920,5434465,9624,319,0
22.4032,241,53,15914,7,0.06542969,0,4332,5962602,10583,341,0
23.41985,270,49,16060,8,0.1246338,0,4710,6496625,11554,371,0
24.4365,261,50,16552,7,0.04864502,0,5356,7045175,12552,399,0
25.45315,277,46,16554,8,0.1216431,0,5643,7594701,13557,422,0
26.4698,300,49,17461,7,0.07244873,0,6067,8174669,14615,450,0
27.50312,285,46,18054,8,0.1439209,0,6367,8772721,15707,474,0
28.51977,322,49,18846,7,0.08441162,0,6824,9398474,16854,502,0
29.53642,306,45,18435,8,0.1934204,0,7098,10008965,17987,524,0
30.55307,337,48,20474,7,0.08337402,0,7735,10687937,19251,552,0
31.55306,332,44,18962,8,0.1657715,0,8087,11316068,20406,580,0
32.56971,364,46,21200,7,0.0769043,0,8731,12018745,21701,609,0
33.58636,374,44,20770,8,0.1776733,0,9096,12707155,22967,638,0
34.60301,375,45,22472,7,0.08221436,0,9671,13450799,24334,670,0
