Time,EntityCount,Frames,Events,SystemCount,SystemRunTime,RemotePeerPing,BytesReceived,BytesSent,PacketsSent,PacketsReceived,PacketLossPercent
1.035873,7,60,237,8,0.003662109,0,250886368,699213130,1320120,502151,0
2.035937,18,60,1000,8,0.005859375,2,250891121,699245684,1320191,502213,0
3.03605,37,60,1786,8,0.008544922,2,250896204,699304622,1320272,502276,0
4.036123,46,60,2968,8,0.01464844,2,250901139,699402013,1320437,502339,0
5.036178,60,60,4723,8,0.01904297,2,250906116,699557368,1320668,502402,0
6.036308,83,60,6383,8,0.03417969,2,250911252,699767849,1321011,502469,0
7.036376,98,60,6466,8,0.03686523,2,250916199,699980737,1321389,502533,0
8.053167,84,60,6929,8,0.04345703,2,250921355,700207424,1321787,502596,0
9.053237,125,60,7524,8,0.04882813,2,250926423,700456111,1322221,502659,0
10.05333,114,60,9085,8,0.06030273,2,250931365,700754231,1322752,502723,0
11.05347,143,60,11782,8,0.06958008,3,250936508,701142332,1323433,502786,0
12.05354,142,60,10249,8,0.07958984,3,250941506,701479284,1324037,502850,0
13.05363,156,60,11433,8,0.09130859,3,250946829,701855277,1324704,502914,0
14.05373,172,60,11024,8,0.09741211,2,250952095,702218465,1325354,502979,0
15.05382,185,60,13508,8,0.1257324,3,250957191,702663438,1326176,503042,0
16.05391,212,60,14286,8,0.1501465,3,250962440,703134247,1327040,503106,0
17.05404,201,60,15189,8,0.170166,2,250967466,703633643,1327966,503171,0
18.0541,235,60,16172,8,0.1789551,2,250972871,704166601,1328954,503235,0
19.05419,229,60,16613,8,0.1748047,2,250978207,704713013,1329962,503303,0
20.05428,247,60,17628,8,0.1862793,2,250983397,705293470,1331033,503369,0
21.05437,255,60,18117,8,0.2011719,2,250988820,705890145,1332139,503436,0
22.05445,264,60,18871,8,0.2067871,3,250993841,706511200,1333291,503501,0
23.05454,281,60,19468,8,0.251709,3,250999320,707152214,1334478,503564,0
24.05463,288,60,21076,8,0.276123,3,251004898,707846301,1335767,503630,0
25.05473,307,60,21305,8,0.2851563,3,251009981,708547636,1337073,503697,0
26.05484,306,60,22946,8,0.3151855,3,251015296,709302515,1338474,503763,0
27.05492,351,60,23958,8,0.3586426,3,251020523,710092482,1339951,503832,0
28.05498,328,60,24578,8,0.395752,3,251025849,710900595,1341474,503899,0
29.0551,363,60,25559,8,0.4313965,3,251031192,711742923,1343051,503966,0
30.05521,362,60,26320,8,0.4645996,3,251036432,712609480,1344673,504035,0
31.07197,382,60,26833,8,0.4929199,4,251041903,713493389,1346328,504104,0
32.0554,408,60,29974,8,0.501709,4,251047072,714481447,1348169,504170,0
33.07216,413,60,29698,8,0.5461426,4,251052551,715460022,1350003,504239,0
34.05559,435,60,30530,8,0.5700684,3,251057908,716466043,1351887,504312,0
35.07235,413,60,31387,8,0.5930176,3,251063171,717498258,1353807,504379,0
36.07242,450,60,31523,8,0.5854492,3,251068762,718537016,1355745,504454,0
37.07251,443,60,32666,8,0.5974121,3,251074044,719612415,1357756,504528,0
38.07261,463,60,32845,8,0.6271973,3,251079343,720694296,1359780,504598,0
39.0727,467,60,33739,8,0.7019043,3,251084676,721805484,1361861,504671,0
40.07278,474,60,34932,8,0.7453613,3,251089993,722955117,1364018,504738,0
41.07288,491,60,34736,8,0.7924805,3,251095375,724099215,1366172,504808,0
42.07296,481,60,35515,8,0.784668,3,251100919,725268376,1368373,504878,0
43.08981,492,60,37628,8,0.7663574,3,251106257,726507214,1370688,504952,0
44.0898,497,60,37112,8,0.7497559,3,251111588,727729135,1372972,505025,0
45.0768,516,60,36667,8,0.7460938,3,251116250,728937620,1375238,505091,0
46.08303,501,60,33838,8,0.784668,3,251121744,730053603,1377331,505163,0
47.0901,581,60,44179,8,0.8713379,7,251127290,731514155,1380046,505235,0
48.09023,534,59,38839,8,0.9082031,6,251132782,732778064,1382419,505307,0
49.09031,540,59,41526,8,0.9008789,4,251138111,734160823,1385011,505377,0
50.10709,583,57,42989,8,0.9401855,6,251143584,735562059,1387628,505453,0
51.12383,547,57,41731,8,0.9931641,6,251148968,736938805,1390213,505521,0
52.1406,587,56,39926,8,0.9885254,5,251154346,738250558,1392680,505596,0
53.14069,583,54,44927,8,0.9968262,6,251159771,739730668,1395467,505673,0
54.15742,598,54,42316,8,1.000244,5,251165478,741126561,1398099,505745,0
55.15752,590,54,39764,8,0.9887695,3,251170997,742438208,1400571,505819,0
56.1576,607,53,41990,8,0.9992676,3,251176346,743819376,1403162,505895,0
57.17434,631,51,45826,8,1.000732,4,251181954,745330341,1405990,505967,0
58.17443,597,49,43553,8,1.010986,4,251187300,746763020,1408680,506039,0
59.20788,643,48,43792,8,1.00708,5,251192919,748207674,1411389,506119,0
60.20796,640,44,38182,8,0.9951172,5,251198391,749465778,1413757,506190,0
61.22471,687,44,42645,8,1.010498,5,251203932,750871662,1416395,506265,0
62.2248,669,40,40796,8,0.9975586,5,251209387,752217740,1418913,506340,0
63.25822,706,40,38190,8,1.018555,6,251215008,753479618,1421284,506416,0
64.27497,704,38,39934,8,1.008545,6,251220640,754795631,1423751,506487,0
65.2751,700,37,39214,8,1.004395,6,251226266,756089029,1426174,506555,0
66.29184,746,36,37177,8,1.008545,6,251231872,757312004,1428470,506633,0
67.3253,737,38,41758,8,1.021729,6,251237807,758691492,1431058,506708,0
68.342,747,39,41880,8,1.017334,6,251243753,760072581,1433646,506779,0
69.34209,738,35,35627,8,0.9995117,4,251249392,761245629,1435859,506848,0
70.34216,763,36,38383,8,1.000488,5,251254893,762511600,1438237,506919,0
71.3756,754,35,38359,8,1.017334,5,251260568,763778045,1440606,506993,0
72.37572,778,34,38530,8,1.005615,4,251266169,765049664,1442993,507060,0
73.37583,783,35,39403,8,0.9958496,4,251272058,766353533,1445438,507135,0
74.40924,775,35,39126,8,1.020996,4,251277693,767639533,1447848,507208,0
75.42601,788,34,37830,8,1.007568,5,251283323,768888223,1450198,507281,0
76.42609,811,30,34951,8,1.008301,4,251288692,770041814,1452366,507352,0
77.4595,829,30,36936,8,1.028076,3,251294374,771259667,1454652,507425,0
78.49296,813,29,34046,8,1.023438,2,251299979,772384809,1456773,507501,0
79.50967,838,28,33075,8,1.017822,3,251305515,773473984,1458819,507572,0
80.54311,846,28,34113,8,1.024414,3,251311155,774600299,1460938,507647,0
81.54317,854,26,34538,8,1.001953,4,251316455,775740368,1463079,507722,0
82.55991,891,26,35706,8,1.011719,4,251322074,776918928,1465290,507799,0
83.57663,871,25,34550,8,1.009521,4,251327594,778062000,1467431,507878,0
84.57678,874,24,33621,8,0.9997559,3,251332938,779168203,1469508,507955,0
85.59357,899,24,34426,8,1.009521,4,251338394,780308517,1471647,508037,0
86.62696,924,23,33244,8,1.032471,3,251343852,781411197,1473714,508118,0
87.66039,920,23,34302,8,1.025146,4,251349387,782537537,1475829,508202,0
88.67715,953,22,34306,8,1.012207,6,251354809,783676325,1477965,508282,0
89.67726,989,21,33046,8,0.9973145,5,251360134,784761631,1480002,508360,0
