Time,EntityCount,Frames,Events,SystemCount,SystemRunTime,RemotePeerPing,BytesReceived,BytesSent,PacketsSent,PacketsReceived,PacketLossPercent
1.00253,6,60,202,8,0.008825302,0,53,10016,61,4,0
2.002612,16,60,847,8,0.01124573,3,80,42038,130,7,0
3.002707,39,60,2124,8,0.01921654,4,185,117075,239,16,1
4.002789,41,60,3022,8,0.02858925,4,329,221288,397,28,0
5.002873,60,60,3923,8,0.03414536,3,499,355502,613,42,0
6.002967,59,60,4253,8,0.03704643,3,643,499887,844,54,0
7.003054,77,60,5365,8,0.04841995,6,852,681617,1133,71,0
8.003161,91,60,5847,8,0.05884933,6,1022,879255,1469,85,0
9.003234,88,60,6937,8,0.06649399,5,1179,1111799,1884,98,0
10.00332,120,60,7856,8,0.09384918,4,1414,1376096,2348,117,0
11.00341,118,60,8729,8,0.104969,4,1623,1668166,2869,134,0
12.00352,136,60,9700,7,0.06203842,4,1961,1992265,3446,151,0
13.00362,148,60,10526,8,0.1405144,3,2196,2343578,4070,170,0
14.00371,162,60,11638,7,0.0785675,4,2366,2731470,4772,184,0
15.00381,162,60,11915,8,0.1555672,3,2575,3128402,5493,201,0
16.00389,185,60,13201,7,0.07774734,4,3068,3568456,6294,223,0
17.00401,196,60,13720,8,0.1752701,4,3316,4025208,7134,243,0
18.00407,195,60,14860,7,0.09444809,3,3933,4518728,8021,269,0
19.00415,221,60,15236,8,0.1986923,4,4168,5025920,8938,288,0
20.00427,226,60,16849,7,0.114666,5,4776,5585320,9951,317,0
21.00433,238,60,16989,6,0.1096535,4,86207,6068437,10824,485,0
22.0044,247,60,17894,5,0.1100235,4,196668,6552333,11711,701,0
23.00451,266,60,18942,4,0.1206055,5,313671,7064606,12648,937,0
24.00459,262,60,21797,3,0.1249962,6,514800,7585936,13611,1309,0
25.00468,292,60,23997,2,0.013237,7,1301601,7595521,13677,2768,0
26.00478,288,60,21370,3,0.130661,6,1449463,8156553,14708,3076,0
27.00487,294,60,25226,2,0.01431274,6,2277387,8164260,14770,4621,0
28.00496,318,60,23238,3,0.1412315,5,2436663,8776501,15905,4952,0
29.00509,321,60,23330,2,0.01488113,5,3201706,8784396,15970,6380,0
30.00514,345,60,25164,3,0.1695366,4,3365623,9454914,17216,6714,0
31.0053,361,60,25199,2,0.01465988,8,4191604,9464618,17283,8266,0
32.00534,371,60,27195,3,0.1842461,7,4367371,10189677,18626,8617,0
33.00545,379,60,32570,2,0.01737213,6,5436878,10198926,18691,10615,0
34.00555,400,60,28961,3,0.191925,9,5622625,10973947,20138,10980,0
35.00563,413,60,38698,2,0.01781845,7,6892796,10984323,20206,13340,0
36.0057,411,60,36703,3,0.2145576,5,7283164,11808099,21739,14086,0
37.00581,433,60,30735,2,0.01673508,5,8301643,11817857,21807,15986,0
38.00589,443,60,33141,3,0.2290421,4,8517997,12687566,23430,16422,0
39.00599,454,60,31350,2,0.02217865,5,9546205,12697032,23496,18347,0
40.00607,465,60,34571,3,0.2332916,3,9797417,13589739,25165,18842,0
41.0062,488,60,33000,2,0.02136993,3,10879790,13599579,25231,20884,0
42.00626,480,60,36568,3,0.2445602,3,11133341,14554573,27016,21381,0
43.00635,502,60,35216,2,0.02023315,3,12288282,14565031,27082,23558,0
44.00645,523,60,37187,3,0.2627182,4,12518205,15565573,28952,24034,0
45.00657,512,60,37501,2,0.02043152,4,13749008,15574113,29019,26361,0
46.00666,545,60,39698,3,0.2568512,3,14011892,16624526,30985,26889,0
47.00674,546,60,38461,2,0.01764679,2,15274363,16633282,31051,29284,0
48.00682,549,60,40453,3,0.2561874,2,15529040,17715730,33073,29794,0
49.00694,569,60,39996,2,0.02597046,3,16846569,17726002,33142,32283,0
50.00704,574,60,43309,3,0.2851486,3,17139326,18859523,35257,32863,0
51.00711,581,60,39261,2,0.02955627,2,18427542,18869292,35323,35298,0
52.00717,610,60,44628,3,0.2771378,2,18737292,20035595,37499,35916,0
53.00727,605,60,39425,2,0.02742767,4,20038942,20045971,37567,38370,0
54.00733,610,60,44461,3,0.3041,3,20305970,21239899,39805,38912,0
