Time,EntityCount,Frames,Events,SystemCount,SystemRunTime,RemotePeerPing,BytesReceived,BytesSent,PacketsSent,PacketsReceived,PacketLossPercent
1.019202,6,60,212,0,0.0001220703,0,111815319,381999196,720071,227596,0
2.035949,16,60,894,0,0,4,111848905,381999212,720073,227666,0
3.036049,47,60,2209,0,0,4,111927308,381999330,720083,227779,0
4.036185,44,60,3041,0,0,5,112031774,381999474,720095,227938,0
5.036245,57,60,3986,0,0.0002441406,5,112167879,381999644,720109,228157,0
6.03631,68,60,4268,0,0,4,112313245,381999801,720122,228388,0
7.036389,77,60,5418,0,0,4,112496232,381999984,720137,228681,0
8.036447,91,60,5897,0,0.0001220703,3,112695512,382000154,720151,229020,0
9.036578,98,60,6947,0,0,3,112928923,382000324,720165,229437,0
10.03666,120,60,7958,0,0.0001220703,3,113196049,382000559,720184,229907,0
11.0368,119,60,8737,1,0.0004882813,3,113488420,382000831,720204,230429,0
12.03688,142,60,9768,0,0.01623535,3,113815030,382001119,720219,231010,0
13.03695,151,60,10584,1,0.001220703,3,114168031,382001354,720238,231637,0
14.03707,161,60,11686,0,0.0213623,2,114557466,382001537,720253,232343,0
15.03717,170,60,11928,1,0.0008544922,2,114955223,382001733,720269,233065,0
16.03725,183,60,13271,0,0.02697754,2,115396981,382002226,720291,233870,0
17.054,202,60,13818,1,0.0009765625,2,115857287,382002474,720311,234714,0
18.05408,201,60,15010,0,0.03991699,2,116355964,382003117,720339,235610,0
19.05416,221,60,15354,1,0.002197266,3,116866443,382003339,720357,236534,0
20.05426,226,60,16881,2,0.05249023,3,117420817,382010040,720397,237540,0
21.05436,244,60,17063,3,0.05371094,2,117905461,382092625,720566,238415,0
22.05441,250,60,17926,4,0.05700684,3,118389731,382203508,720782,239302,0
23.05451,270,60,19080,5,0.06726074,2,118904695,382322603,721022,240245,0
24.0546,268,60,21745,6,0.08325195,3,119391968,382556268,721452,241149,0
25.05528,292,60,24661,5,0.2578125,4,119438612,383327302,722886,241281,0
26.05478,289,60,20542,6,0.09033203,3,119961690,383485886,723214,242244,0
27.05487,302,60,26137,5,0.270874,4,120009324,384304391,724740,242375,0
28.05498,317,60,22430,6,0.09313965,4,120581368,384476457,725092,243441,0
29.05505,321,60,23997,5,0.3372803,3,120631564,385221167,726483,243582,0
30.05518,354,60,24642,6,0.1236572,3,121260660,385409775,726864,244752,0
31.05527,361,60,26307,5,0.4140625,4,121317192,386225111,728397,244903,0
32.05535,371,60,26160,6,0.1428223,3,121994904,386414137,728774,246162,0
33.05282,385,60,32544,5,0.4654541,4,122016486,387470322,730744,246247,0
34.07222,390,60,28347,6,0.1960449,3,122779262,387648166,731097,247676,0
35.2957,410,60,42563,6,0.5233154,18,122788520,389046011,733687,247737,0
36.07238,424,60,34135,6,0.1959229,14,123614193,389350988,734279,249277,0
37.07248,433,60,31993,5,0.5991211,9,123693914,390329690,736108,249475,0
38.08922,446,60,31535,6,0.2139893,7,124492949,390574599,736596,250968,0
39.07265,459,60,33186,5,0.6348877,6,124577044,391588747,738496,251169,0
40.08941,466,60,34586,6,0.2518311,5,125395038,391914895,739126,252703,0
41.07284,487,60,33233,5,0.7305908,4,125484371,392925493,741038,252914,0
42.08961,497,60,35647,6,0.3032227,3,126361353,393227584,741625,254554,0
43.0897,492,60,36496,5,0.7338867,3,126461728,394333544,743712,254787,0
44.08981,524,60,36538,6,0.2874756,3,127370683,394633752,744320,256490,0
45.08988,523,60,38534,5,0.7878418,3,127481873,395796466,746519,256743,0
46.08997,544,60,38280,6,0.3359375,2,128429567,396114696,747151,258523,0
47.10676,549,60,40151,5,0.8455811,3,128563254,397308110,749417,258820,0
